наименование,цена,описание,характеристики
Краска для игрушек Biofa желтая 8005-1-34 (0.125л),554,"Краска для игрушек Biofa желтая 8005134 0125л

Высококачественная краска на основе сырья природного происхождения безопасна для здоровья ребёнка

 

 Рекомендована только для внутренних работ

 

 В качестве связующего использован натуральный шеллак для придания цвета задействованы пищевые красители

 

 Безопасна при работе имеет нейтральный запах

 

 В качестве разбавителя используется вода не выделяет вредных веществ в процессе высыхания и эксплуатации

 

 Образует паропроницаемую матовую поверхность с приятными тактильными ощущениями и антистатическим эффектом

 

 Имеет протоколы технического надзора по DIN EN 713 и DIN 53160

 

 Хорошо проникает в волокна древесины обеспечивает их равномерное окрашивание

 

 Наносится различными способами окунание распыление кисть высыхает за 30 минут

 

 Яркие и сочные готовые цвета привлекут внимание ребенка

 

BIOFA 8005 рекомендуется для защитнодекоративной окраски детских игрушек детского инвентаря кроваток и мебели Также краска может быть использована для декорирования деревянной посуды кухонной утвари и деревянной галантереи украшения броши шкатулки визитницы подсвечники и прочее Яркие цвета отличная способность смачивать древесину и возможность нанесения методом окунания гарантирует быстрый результат с великолепным декоративным эффектом

 

ВНИМАНИЕ При нанесении в один слой в случае длительного контакта с потом или слюной ребенка краска BIOFA 8005 может пачкаться С целью повышения устойчивости к сухому и мокрому истиранию готового изделия окрашенного краской BIOFA 8005 рекомендуется дополнительная обработка маслами ТМ BIOFA например BIOFA 2044 2052 8662 8630 Все указанные продукты имеют протокол технического надзора о безопасности для детских игрушек по DIN EN 713При использовании в качестве финишного слоя лазурей и лаков на водной основе краска BIOFA 8005 может немного растворяться и смазываться что может испортить декоративный эффект","{'Степень блеска поверхности': 'матовая', 'Колеровка': 'нет', 'Тип работ': 'внутренние работы', 'Бренд': 'Biofa', 'Страна производителя': 'ГЕРМАНИЯ', 'Цвет': 'желтый', 'Расход': '13-20 м2/л', 'Состав,': 'водный', 'Разбавитель (растворитель)': 'вода', 'Артикул': '8005-1-34', 'Готовность к применению': 'готов к применению', 'Способ нанесения': 'кисть\xa0/\xa0окунание\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '0.5', 'Рекомендованное количество слоев покрытия': '1-2', 'Фасовка (л)': '0.125'}"
Лак паркетный EUROTEX Premium Бесцветный глянцевый (2.5л),1 665,"EUROTEX PREMIUM ПАРКЕТНЫЙ ЛАК

Назначение



защита древесины любых горизонтальных и вертикальных поверхностей от механических воздействий 

декоративная отделка древесины

Область применения Внутри помещений в т ч неотапливаемых по горизонтальным и вертикальным поверхностям 



по новым или старым неокрашенным или очищенным от старого лакового покрытия деревянным основаниям половая доска паркет лестницы стены окна двери мебель и др 

по любым материалам на основе древесины ДВП ДСП фанера шпон пробка и др

Разрешен к применению в детских дошкольных общеобразовательных спортивных помещениях

Свойства



образует долговечное эластичное ударопрочное покрытие устойчивое1 к статическому воздействию воды не менее 48 часов2 к действию слабых кислот масел бытовой химии3 к появлению трещин и царапин4 к истиранию и абразивному износу 

легко наносится глубоко проникает в структуру древесины 

подчеркивает природный рисунок древесины 

класс пожарной опасности материала КМ2

Рекомендации по применениюПри обработке пораженной древесины или древесины ранее окрашенной лакокрасочными материалами предварительно очистить отшлифовать отциклевать зашкурить древесину от старых покрытий загрязнений гнилостных повреждений инородных включений и обеспылить Перед нанесением поверхность загрунтовать составом АКВАТЕКС Грунтантисептик или лаком разбавленным растворителем на 1020 Последующие слои наносить неразбавленным лаком с обязательной промежуточнойшлифовкой Для придания древесине желаемого оттенка допускается в качестве грунтовочного слоя использовать составы Акватекс АкватексЭкстра Любимая Дача нужного цвета Перед применением перемешать Наносить на сухую древесину влажностью не более 12 при t окружающего воздуха и поверхности не ниже 5С кистью валиком или распылителем

Технические данные



Состав модифицированная алкидноуретановая смола регуляторы растекаемости и прочие технологические добавки 

Методы нанесения кисть валик распыление 

Разбавление допускается но не более 10 от общей массы состава 

Разбавитель универсальный растворитель Dali уайтспирит 

Температура применения от 5С относительная влажность воздуха менее 70 

Допустимая влажность древесины до 12 

Количество слоев 23 

Расход в 1 слой для грунтования 1л разбавленного лака на 1317м2 для финишного покрытия 1л на 813м2 

Время высыхания при t 202C на отлип  4 часа межслойная сушка  5 часов окончательный набор прочности покрытия  4 суток 

Блеск покрытия под углом 60 глянцевый 8595 полуматовый 2535 

Цвет бесцветный 

Колеровка машинная по Колеровочной карте AКВАТЕКСEUROTEX 

Колеровка ручная универсальными колерными пастами Dali 

Плотность гсм3 090005 

Прочность покрытия к истиранию гм2 глянцевый не более 40гм полуматовый не более 33 гм2 

Стойкость покрытия к статическому воздействию воды не менее 48 часов 

Срок службы покрытия внутри помещений до 15 лет 

Очистка инструмента универсальный растворитель Dali уайтспирит 

Хранение и транспортировка при t от 40 до 40С не теряет свойств при замораживании 

Срок годности 3 года в заполненной герметичной таре 

Фасовка 08 25 10 л

 срок службы покрытия зависит от эксплуатационной нагрузки

Совместимость с другими ЛКМ



1 Предварительная обработка биозащитными пропиточными составами WOODMASTER Биосепт Антижук БиосептТранс Биосепт Ультра Иней Иней Проф БиоТОР WOODMASTER PROF Биосепт Концентрат БиосептУльтра Концентрат Антижук Концентрат DALI Универсальный антисептик ЭКОДОМ БИО БИОПРОФ Временная защита Отбеливатель КЕДР БИО БИОПРОФ

 биозащитные пропиточные составы окрашивают древесину в зеленовато фисташковый оттенок биозащитные пропиточные составы окрашивают древесину в бледнозеленый оттенок



2 Предварительная обработка огнезащитными составами WOODMASTER КСД PIREX Decor лак для дерева

 допускается обработка только внутри помещений время высыхания лака Eurotex Premium может увеличиться до 7 суток



3 Предварительное грунтование EUROTEX Premium разбавленный Dali Универсальным растворителем или уайтспиритом на 20 АКВАТЕКС Грунтантисептик 

4 Предварительное тонирование АКВАТЕКС Акватекс АкватексЭкстра поверхности ЛЮБИМАЯ ДАЧА

 в случае предварительного тонирования древесины одним из совместимых ЛКМ грунтование уже не требуется



5 Предварительное шпатлевание EUROTEX Шпатлевка для дерева

Советы эксперта



при желании получить цветное покрытие наиболее предпочтительный вариант  предварительно затонировать поверхность совместимыми защитнодекоративными составами а не колеровать непосредственно лак в противном случае со временем участки обработанной поверхности подвергающиеся наиболее интенсивным эксплуатационным нагрузкам могут отличаться по цвету от остальной обработанной площади 

мелкие детали удобнее обрабатывать методом окунания 

для нивелирования незначительных дефектов покрытия и улучшения межслойной адгезии рекомендуется 

производить легкую шлифовку после каждого слоя мелкозернистой наждачной бумагой 

частично использованный лак для последующего хранения рекомендуется перелить в металлическую или стеклянную тару таким образом чтобы она была полностью заполнена это позволит избежать испарения растворителя и образования поверхностной пленки","{'Тип работ': 'внутренние работы', 'Степень блеска поверхности': 'глянцевая', 'Вид покрытия': 'оставляет природный рисунок древесины', 'Колеровка': 'ручная\xa0/\xa0автоматическая\xa0/\xa0готовый цвет', 'Состав,': 'алкидный', 'Готовность к применению': 'готов к применению', 'Бренд': 'Eurotex', 'Страна производителя': 'РОССИЯ', 'Цвет': 'бесцветный', 'Разбавитель (растворитель)': 'уайт-спирит', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '96', 'Температура применения, (град. C)': 'от+5', 'Рекомендованное количество слоев покрытия': '2-3', 'Расход (1 слой), (кв.м/л)': '9-13', 'Время высыхания между слоями (ч)': '5', 'Тип поверхности': 'дерево\xa0/\xa0ДВП\xa0/\xa0ДСП', 'Фасовка (л)': '2.5'}"
Краска Dulux Professional Diamond Фасадная белый 1 л,930,"Краска акриловая для минеральных и деревянных поверхностей Dulux Professional Diamond Фасадная Цвет  белый объем упаковки  1 л Обладает превосходной укрывистостью и нейтральным запахом

Продукт изготавливается по технологии Алмазная прочность Ее суть заключается в максимально точном подборе баланса минеральных наполнителей которые тесно взаимодействуют с эластичным связующим компонентом Все это позволяет достичь качественного результата  долговечного и суперстойкого покрытия

Краска не блокирует способность поверхности пропускать воздух Покрытие паропроницаемое оно позволяет основанию дышать При этом является водостойким и защищает от проникновения влаги Активные добавки препятствуют появлению и развитию поражений биологического характера Стойкие к выгоранию пигменты сохраняют изначальный цвет на долгие годы Покрытие эластичное устойчивое к образованию трещин

Краской легко работать любым инструментом Она наносится равномерно без образования подтеков и разводов

Особенности применения

Для наружных окрасочных работ по деревянным и полностью просохшим минеральным поверхностям бетон штукатурка кирпич каменная кладка Рекомендуется для окрашивания фасадов жилых и общественных зданий в любых климатических зонах

Технология нанесения

Перед использованием краска тщательно перемешивается Состав можно разбавить Пропорции для всех слоев не более 1 части воды на 10 частей краски 

Для укрепления базовой поверхности повышения адгезии и уменьшения расхода краски наносится слой грунта Dulux Инструменты для работы кисть валик краскораспылитель Покрытие формируется толщиной в 2 слоя Оптимальные температурные условия для окрашивания от 5С до 30С Влажность воздуха должна быть от 40 до 80 Заданный уровень атмосферостойкости покрытие достигает через 1012 дней после нанесения При окрашивании фактурных поверхностей декоративных штукатурок краска наносится тонкими слоями

Обычное распыление состав разбавляется в соотношении не более 1 части воды на 5 частей краски Такие пропорции подойдут для большинства оборудования Рекомендуется предварительно подобрать необходимые условия распыления на небольшом участке поверхности исходя из выбранного инструмента

Уход за покрытием также важен Его очистку можно проводить не ранее чем через месяц после окрашивания Можно делать промывку водой под давлением без применения специальных моющих средств

Техника безопасности

Хранение продукции осуществляется в месте защищенном от внешних воздействий недоступном для детей Окрашивание проводить с применением средств индивидуальной защиты Беречь от попадания глаза открытые участки кожи Не принимать состав внутрь В экстренной ситуации обратиться к врачу

Жидкие остатки не выливать в канализацию водоем или почву Пустые емкости с засохшим продуктом утилизируются в качестве бытовых отходов","{'Степень блеска поверхности': 'матовая', 'Область применения': 'стены снаружи помещения', 'Защита от плесени, грибка': 'да', 'Колеровка': 'да', 'Тип поверхности': 'кирпич\xa0/\xa0бетон\xa0/\xa0дерево\xa0/\xa0минеральные поверхности\xa0/\xa0оштукатуренная поверхность\xa0/\xa0камень', 'Срок службы,': '25 лет', 'Тип работ': 'наружные работы', 'Бренд': 'Dulux', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Состав,': 'акриловый', 'Разбавитель (растворитель)': 'вода', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '4', 'Рекомендованное количество слоев покрытия': '2', 'Расход (1 слой), (кв.м/л)': '16', 'Время высыхания между слоями (ч)': '2', 'Фасовка (л)': '1', 'Базис': 'BW'}"
Краска Dulux Professional Diamond Фасадная бесцветная 0.9 л,930,"Краска акриловая для минеральных и деревянных поверхностей Dulux Professional Diamond Фасадная Цвет  бесцветная объем упаковки  09 л Обладает превосходной укрывистостью и нейтральным запахом

Продукт изготавливается по технологии Алмазная прочность Ее суть заключается в максимально точном подборе баланса минеральных наполнителей которые тесно взаимодействуют с эластичным связующим компонентом Все это позволяет достичь качественного результата  долговечного и суперстойкого покрытия

Краска не блокирует способность поверхности пропускать воздух Покрытие паропроницаемое оно позволяет основанию дышать При этом является водостойким и защищает от проникновения влаги Активные добавки препятствуют появлению и развитию поражений биологического характера Стойкие к выгоранию пигменты сохраняют изначальный цвет на долгие годы Покрытие эластичное устойчивое к образованию трещин

Краской легко работать любым инструментом Она наносится равномерно без образования подтеков и разводов

Особенности применения

Для наружных окрасочных работ по деревянным и полностью просохшим минеральным поверхностям бетон штукатурка кирпич каменная кладка Рекомендуется для окрашивания фасадов жилых и общественных зданий в любых климатических зонах

Технология нанесения

Перед использованием краска тщательно перемешивается Состав можно разбавить Пропорции для всех слоев не более 1 части воды на 10 частей краски 

Для укрепления базовой поверхности повышения адгезии и уменьшения расхода краски наносится слой грунта Dulux Инструменты для работы кисть валик краскораспылитель Покрытие формируется толщиной в 2 слоя Оптимальные температурные условия для окрашивания от 5С до 30С Влажность воздуха должна быть от 40 до 80 Заданный уровень атмосферостойкости покрытие достигает через 1012 дней после нанесения При окрашивании фактурных поверхностей декоративных штукатурок краска наносится тонкими слоями

Обычное распыление состав разбавляется в соотношении не более 1 части воды на 5 частей краски Такие пропорции подойдут для большинства оборудования Рекомендуется предварительно подобрать необходимые условия распыления на небольшом участке поверхности исходя из выбранного инструмента

Уход за покрытием также важен Его очистку можно проводить не ранее чем через месяц после окрашивания Можно делать промывку водой под давлением без применения специальных моющих средств

Техника безопасности

Хранение продукции осуществляется в месте защищенном от внешних воздействий недоступном для детей Окрашивание проводить с применением средств индивидуальной защиты Беречь от попадания глаза открытые участки кожи Не принимать состав внутрь В экстренной ситуации обратиться к врачу

Жидкие остатки не выливать в канализацию водоем или почву Пустые емкости с засохшим продуктом утилизируются в качестве бытовых отходов","{'Степень блеска поверхности': 'матовая', 'Область применения': 'стены снаружи помещения', 'Защита от плесени, грибка': 'да', 'Колеровка': 'да', 'Тип поверхности': 'кирпич\xa0/\xa0бетон\xa0/\xa0дерево\xa0/\xa0минеральные поверхности\xa0/\xa0оштукатуренная поверхность\xa0/\xa0камень', 'Срок службы,': '25 лет', 'Тип работ': 'наружные работы', 'Бренд': 'Dulux', 'Страна производителя': 'РОССИЯ', 'Цвет': 'бесцветный', 'Состав,': 'акриловый', 'Разбавитель (растворитель)': 'вода', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '4', 'Рекомендованное количество слоев покрытия': '2', 'Расход (1 слой), (кв.м/л)': '16', 'Время высыхания между слоями (ч)': '2', 'Фасовка (л)': '0.9', 'Базис': 'BC'}"
Краска фасадная РЕЛЬЕФ ВД-АК-1180 белоснежная W1106 6 кг,899,"Краска РЕЛЬЕФ ВДАК1180 фасадная белоснежная W1106 Вес упаковки  6 кг Акриловый состав с хорошей адгезией к различным поверхностям Простой и удобный в применении легко наносится равномерно распределяется без подтеков и брызг Формирует прочное дышащее покрытие устойчивое к воздействию ультрафиолетовых лучей попаданию влаги и других атмосферных явлений

Особенности применения

Для наружных и внутренних окрасочных работ Продукт используется на фасадах зданий защищенных от прямого попадания воды Краску также применяют для стен и потолков в помещениях с нормальной и повышенной влажностью

Технология нанесения

Основание под покраску подготавливается Оно должно быть сухим чистым прочным не содержать старого покрытия или побелки В завершении рекомендуется нанесение укрепляющего грунта

Перед нанесением краска перемешивается В качестве инструментов используется кисть валик или краскопульт Заданный уровень атмосферостойкости покрытия достигается через 24 недели

Техника безопасности

Хранение и транспортировка осуществляется только в плотно закрытой таре Для складирования выбирается место защищенное от внешних воздействий удаленное от источников огня и тепла недоступное для детей 

Работать с краской только с применением средств индивидуальной защиты Избегать контакта с открытыми участками кожи попаданий в глаза Не принимать внутрь

Остатки запрещено выливать в водоем почву или канализацию Пустые емкости с высохшим продуктом утилизируются в качестве бытового мусора","{'Степень блеска поверхности': 'матовая', 'Защита от плесени, грибка': 'нет', 'Колеровка': 'да', 'Тип поверхности': 'кирпич\xa0/\xa0бетон\xa0/\xa0дерево\xa0/\xa0ДВП\xa0/\xa0ДСП', 'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Бренд': 'РЕЛЬЕФ', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Состав,': 'акриловый', 'Разбавитель (растворитель)': 'вода', 'Артикул': 'W1106', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '1', 'Рекомендованное количество слоев покрытия': '1-2', 'Расход (1 слой), (кв.м/л)': '1 кг на 6-8 м2', 'Время высыхания между слоями (ч)': '1.5', 'Фасовка, (кг)': '6'}"
Краска Marshall Akrikor фасадная силикон-акриловая матовая BW (0.9л),660,"Краска Marshall Akrikor фасадная силиконакриловая матовая BW 09л

Матовая силиконакриловая краска для минеральных фасадных поверхностей 

Образует атмосферостойкое покрытие с высокой адгезией сохраняет защитные и декоративные свойства на срок до 15 лет 

Силиконовые добавки в составе защищают покрытие от грязи и проникновения влаги а высокая паропроницаемость 1 класс по ISO 77832 позволяет покрытию дышать 

Препятствует заражению поверхности грибком и водорослями 

Быстро сохнет и не имеет резкого запаха

Область применения

Для наружных работ Подходит для нанесения на полностью просохшие гладкие минеральные поверхности отштукатуренные кирпичные бетонные в том числе легкие оштукатуренные системы утепления Мокрый фасад и каменную кладку Для окрашивания фактурных покрытий декоративных штукатурок наносите краску тонкими слоями Рекомендуется для окраски фасадов жилых и общественных зданий в любых климатических зонах

Особенности применения

Перед применением разбавить в рекомендованной пропорции и тщательно перемешать Произвести подготовку поверхности

Рекомендуется наносить в два слоя при температуре от 5C до 30С относительной влажности воздуха от 40 до 80 Для укрепления базовой поверхности повышения адгезии и уменьшения расхода краски загрунтуйте подготовленную поверхность фасадной грунтовкой глубокого проникновения Marshall Maestro Заданный уровень атмосферостойкости покрытие достигает через 1012 дней после окрашивания

Разбавление

Для первого грунтовочного слоя разбавить в соотношении не более 1 части воды на 10 частей краски Для следующегослоя разбавление не требуется

Распыление

Обычное распыление разбавить в соотношении не более 1 части воды на 5 частей краски  подходит для большинства оборудования Безвоздушное распыление разбавление водой не требуется При необходимости добавить до 10 воды

Рекомендуемое рабочее давление от 100 до 150 бар угол распыла факела 3050 диаметр сопла 00120017 дюйма","{'Степень блеска поверхности': 'матовая', 'Защита от плесени, грибка': 'да', 'Колеровка': 'да', 'Тип поверхности': 'кирпич\xa0/\xa0бетон\xa0/\xa0оштукатуренная поверхность', 'Срок службы,': '15 лет', 'Тип работ': 'наружные работы', 'Бренд': 'Marshall', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Состав,': 'акрилово-силиконовый', 'Разбавитель (растворитель)': 'вода', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '4', 'Рекомендованное количество слоев покрытия': '2', 'Расход (1 слой), (кв.м/л)': '10', 'Время высыхания между слоями (ч)': '2', 'Фасовка (л)': '0.9', 'Базис': 'BW'}"
наименование,цена,описание,характеристики
Краска для игрушек Biofa желтая 8005-1-34 (0.125л),554,"Краска для игрушек Biofa желтая 8005134 0125л

Высококачественная краска на основе сырья природного происхождения безопасна для здоровья ребёнка

 

 Рекомендована только для внутренних работ

 

 В качестве связующего использован натуральный шеллак для придания цвета задействованы пищевые красители

 

 Безопасна при работе имеет нейтральный запах

 

 В качестве разбавителя используется вода не выделяет вредных веществ в процессе высыхания и эксплуатации

 

 Образует паропроницаемую матовую поверхность с приятными тактильными ощущениями и антистатическим эффектом

 

 Имеет протоколы технического надзора по DIN EN 713 и DIN 53160

 

 Хорошо проникает в волокна древесины обеспечивает их равномерное окрашивание

 

 Наносится различными способами окунание распыление кисть высыхает за 30 минут

 

 Яркие и сочные готовые цвета привлекут внимание ребенка

 

BIOFA 8005 рекомендуется для защитнодекоративной окраски детских игрушек детского инвентаря кроваток и мебели Также краска может быть использована для декорирования деревянной посуды кухонной утвари и деревянной галантереи украшения броши шкатулки визитницы подсвечники и прочее Яркие цвета отличная способность смачивать древесину и возможность нанесения методом окунания гарантирует быстрый результат с великолепным декоративным эффектом

 

ВНИМАНИЕ При нанесении в один слой в случае длительного контакта с потом или слюной ребенка краска BIOFA 8005 может пачкаться С целью повышения устойчивости к сухому и мокрому истиранию готового изделия окрашенного краской BIOFA 8005 рекомендуется дополнительная обработка маслами ТМ BIOFA например BIOFA 2044 2052 8662 8630 Все указанные продукты имеют протокол технического надзора о безопасности для детских игрушек по DIN EN 713При использовании в качестве финишного слоя лазурей и лаков на водной основе краска BIOFA 8005 может немного растворяться и смазываться что может испортить декоративный эффект","{'Степень блеска поверхности': 'матовая', 'Колеровка': 'нет', 'Тип работ': 'внутренние работы', 'Бренд': 'Biofa', 'Страна производителя': 'ГЕРМАНИЯ', 'Цвет': 'желтый', 'Расход': '13-20 м2/л', 'Состав,': 'водный', 'Разбавитель (растворитель)': 'вода', 'Артикул': '8005-1-34', 'Готовность к применению': 'готов к применению', 'Способ нанесения': 'кисть\xa0/\xa0окунание\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '0.5', 'Рекомендованное количество слоев покрытия': '1-2', 'Фасовка (л)': '0.125'}"
Лак паркетный EUROTEX Premium Бесцветный глянцевый (2.5л),1 665,"EUROTEX PREMIUM ПАРКЕТНЫЙ ЛАК

Назначение



защита древесины любых горизонтальных и вертикальных поверхностей от механических воздействий 

декоративная отделка древесины

Область применения Внутри помещений в т ч неотапливаемых по горизонтальным и вертикальным поверхностям 



по новым или старым неокрашенным или очищенным от старого лакового покрытия деревянным основаниям половая доска паркет лестницы стены окна двери мебель и др 

по любым материалам на основе древесины ДВП ДСП фанера шпон пробка и др

Разрешен к применению в детских дошкольных общеобразовательных спортивных помещениях

Свойства



образует долговечное эластичное ударопрочное покрытие устойчивое1 к статическому воздействию воды не менее 48 часов2 к действию слабых кислот масел бытовой химии3 к появлению трещин и царапин4 к истиранию и абразивному износу 

легко наносится глубоко проникает в структуру древесины 

подчеркивает природный рисунок древесины 

класс пожарной опасности материала КМ2

Рекомендации по применениюПри обработке пораженной древесины или древесины ранее окрашенной лакокрасочными материалами предварительно очистить отшлифовать отциклевать зашкурить древесину от старых покрытий загрязнений гнилостных повреждений инородных включений и обеспылить Перед нанесением поверхность загрунтовать составом АКВАТЕКС Грунтантисептик или лаком разбавленным растворителем на 1020 Последующие слои наносить неразбавленным лаком с обязательной промежуточнойшлифовкой Для придания древесине желаемого оттенка допускается в качестве грунтовочного слоя использовать составы Акватекс АкватексЭкстра Любимая Дача нужного цвета Перед применением перемешать Наносить на сухую древесину влажностью не более 12 при t окружающего воздуха и поверхности не ниже 5С кистью валиком или распылителем

Технические данные



Состав модифицированная алкидноуретановая смола регуляторы растекаемости и прочие технологические добавки 

Методы нанесения кисть валик распыление 

Разбавление допускается но не более 10 от общей массы состава 

Разбавитель универсальный растворитель Dali уайтспирит 

Температура применения от 5С относительная влажность воздуха менее 70 

Допустимая влажность древесины до 12 

Количество слоев 23 

Расход в 1 слой для грунтования 1л разбавленного лака на 1317м2 для финишного покрытия 1л на 813м2 

Время высыхания при t 202C на отлип  4 часа межслойная сушка  5 часов окончательный набор прочности покрытия  4 суток 

Блеск покрытия под углом 60 глянцевый 8595 полуматовый 2535 

Цвет бесцветный 

Колеровка машинная по Колеровочной карте AКВАТЕКСEUROTEX 

Колеровка ручная универсальными колерными пастами Dali 

Плотность гсм3 090005 

Прочность покрытия к истиранию гм2 глянцевый не более 40гм полуматовый не более 33 гм2 

Стойкость покрытия к статическому воздействию воды не менее 48 часов 

Срок службы покрытия внутри помещений до 15 лет 

Очистка инструмента универсальный растворитель Dali уайтспирит 

Хранение и транспортировка при t от 40 до 40С не теряет свойств при замораживании 

Срок годности 3 года в заполненной герметичной таре 

Фасовка 08 25 10 л

 срок службы покрытия зависит от эксплуатационной нагрузки

Совместимость с другими ЛКМ



1 Предварительная обработка биозащитными пропиточными составами WOODMASTER Биосепт Антижук БиосептТранс Биосепт Ультра Иней Иней Проф БиоТОР WOODMASTER PROF Биосепт Концентрат БиосептУльтра Концентрат Антижук Концентрат DALI Универсальный антисептик ЭКОДОМ БИО БИОПРОФ Временная защита Отбеливатель КЕДР БИО БИОПРОФ

 биозащитные пропиточные составы окрашивают древесину в зеленовато фисташковый оттенок биозащитные пропиточные составы окрашивают древесину в бледнозеленый оттенок



2 Предварительная обработка огнезащитными составами WOODMASTER КСД PIREX Decor лак для дерева

 допускается обработка только внутри помещений время высыхания лака Eurotex Premium может увеличиться до 7 суток



3 Предварительное грунтование EUROTEX Premium разбавленный Dali Универсальным растворителем или уайтспиритом на 20 АКВАТЕКС Грунтантисептик 

4 Предварительное тонирование АКВАТЕКС Акватекс АкватексЭкстра поверхности ЛЮБИМАЯ ДАЧА

 в случае предварительного тонирования древесины одним из совместимых ЛКМ грунтование уже не требуется



5 Предварительное шпатлевание EUROTEX Шпатлевка для дерева

Советы эксперта



при желании получить цветное покрытие наиболее предпочтительный вариант  предварительно затонировать поверхность совместимыми защитнодекоративными составами а не колеровать непосредственно лак в противном случае со временем участки обработанной поверхности подвергающиеся наиболее интенсивным эксплуатационным нагрузкам могут отличаться по цвету от остальной обработанной площади 

мелкие детали удобнее обрабатывать методом окунания 

для нивелирования незначительных дефектов покрытия и улучшения межслойной адгезии рекомендуется 

производить легкую шлифовку после каждого слоя мелкозернистой наждачной бумагой 

частично использованный лак для последующего хранения рекомендуется перелить в металлическую или стеклянную тару таким образом чтобы она была полностью заполнена это позволит избежать испарения растворителя и образования поверхностной пленки","{'Тип работ': 'внутренние работы', 'Степень блеска поверхности': 'глянцевая', 'Вид покрытия': 'оставляет природный рисунок древесины', 'Колеровка': 'ручная\xa0/\xa0автоматическая\xa0/\xa0готовый цвет', 'Состав,': 'алкидный', 'Готовность к применению': 'готов к применению', 'Бренд': 'Eurotex', 'Страна производителя': 'РОССИЯ', 'Цвет': 'бесцветный', 'Разбавитель (растворитель)': 'уайт-спирит', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '96', 'Температура применения, (град. C)': 'от+5', 'Рекомендованное количество слоев покрытия': '2-3', 'Расход (1 слой), (кв.м/л)': '9-13', 'Время высыхания между слоями (ч)': '5', 'Тип поверхности': 'дерево\xa0/\xa0ДВП\xa0/\xa0ДСП', 'Фасовка (л)': '2.5'}"
