наименование,цена,описание,характеристики
Краска для игрушек Biofa желтая 8005-1-34 (0.125л),554,"Краска для игрушек Biofa желтая 8005-1-34 (0.125л)

Высококачественная краска на основе сырья природного происхождения, безопасна для здоровья ребёнка;

 

• Рекомендована только для внутренних работ;

 

• В качестве связующего использован натуральный шеллак, для придания цвета задействованы пищевые красители;

 

• Безопасна при работе, имеет нейтральный запах;

 

• В качестве разбавителя используется вода, не выделяет вредных веществ в процессе высыхания и эксплуатации

 

• Образует паропроницаемую матовую поверхность с приятными тактильными ощущениями и антистатическим эффектом;

 

• Имеет протоколы технического надзора по DIN EN 71.3 и DIN 53160;

 

• Хорошо проникает в волокна древесины, обеспечивает их равномерное окрашивание;

 

• Наносится различными способами (окунание, распыление, кисть), высыхает за 30 минут;

 

• Яркие и сочные готовые цвета привлекут внимание ребенка

 

BIOFA 8005 рекомендуется для защитно-декоративной окраски детских игрушек, детского инвентаря, кроваток и мебели. Также краска может быть использована для декорирования деревянной посуды, кухонной утвари и деревянной галантереи (украшения, броши, шкатулки, визитницы, подсвечники и прочее). Яркие цвета, отличная способность смачивать древесину и возможность нанесения методом окунания гарантирует быстрый результат с великолепным декоративным эффектом.

 

ВНИМАНИЕ! При нанесении в один слой в случае длительного контакта с потом или слюной ребенка краска BIOFA 8005 может пачкаться. С целью повышения устойчивости к сухому и мокрому истиранию готового изделия, окрашенного краской BIOFA 8005, рекомендуется дополнительная обработка маслами ТМ BIOFA, например BIOFA 2044, 2052, 8662, 8630. Все указанные продукты имеют протокол технического надзора о безопасности для детских игрушек по DIN EN 71.3.При использовании в качестве финишного слоя лазурей и лаков на водной основе, краска BIOFA 8005 может немного растворяться и смазываться, что может испортить декоративный эффект.","{'Степень блеска поверхности': 'матовая', 'Колеровка': 'нет', 'Тип работ': 'внутренние работы', 'Бренд': 'Biofa', 'Страна производителя': 'ГЕРМАНИЯ', 'Цвет': 'желтый', 'Расход': '13-20 м2/л', 'Состав,': 'водный', 'Разбавитель (растворитель)': 'вода', 'Артикул': '8005-1-34', 'Готовность к применению': 'готов к применению', 'Способ нанесения': 'кисть\xa0/\xa0окунание\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '0.5', 'Рекомендованное количество слоев покрытия': '1-2', 'Фасовка (л)': '0.125'}"
Грунт-эмаль аэрозольная Kudo для пластика RAL 5005 Синяя 0.52 л,260,"Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 синяя. Образует прочное покрытие, которое не трескается даже в условиях низких температур. Хорошая адгезия, укрывистость, устойчивость к атмосферным воздействиям. Сохраняет свою эластичность после высыхания. Не требует предварительного грунтования.

В составе содержатся компоненты, повышающие устойчивость лакокрасочного покрытия к механическим воздействиям и истиранию.

Особенности применения

Для наружных и внутренних работ. Предназначена для декоративной окраски поверхностей из большинства пластмасс (пластиковые детали интерьера, мебель, садовый инвентарь и т. д.), за исключением полиэтилена и полиуретана.

Технология нанесения

Чтобы при работе аэрозоль не попал на прилегающие поверхности, их нужно защитить. Для достижения наилучших результатов грунт-эмаль наносится при температуре окружающей среды не ниже +10°С. Перед использованием баллон нужно активно встряхнуть в течение 1 — 2 минут.

Перед обработкой пластиковая поверхность подготавливается. Она должна быть чистой, сухой. При необходимости делается обезжиривание. Для подготовки поверхности рекомендуется использовать удалитель силикона KUDO.

Наносится грунт-эмаль с расстояния в 25 — 30 см равномерным слоем. При температуре +20°С на его высыхание уйдет около 20 минут. 

По окончании работы во избежание засорения головки распылителя перевернуть баллон вверх дном и распылять до тех пор, пока не перестанет поступать состав.

Техника безопасности

Хранение продукции осуществляется в месте, защищенном от внешних воздействий, удаленном от источников огня и тепла, недоступном для детей. Грунтование выполнять с использованием средств индивидуальной защиты. Рядом с местом распыления не должно быть огня в любых его проявлениях. Пары продукта не вдыхать, избегать контакта с открытыми участками кожи, попаданий в глаза. В экстренной ситуации обратиться за помощью к врачу.","{'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Способ нанесения': 'через форсунку баллона', 'Тип поверхности': 'пластик / ПВХ', 'Колеровка': 'готовый цвет', 'Состав,': 'полиолефиновые смолы', 'Бренд': 'Kudo', 'Страна производителя': 'РОССИЯ', 'Цвет': 'синий', 'Артикул': 'KU-6009', 'Время полного высыхания (ч)': '2', 'Время высыхания на отлип, (ч)': '20 минут', 'Расход (1 слой), (г/кв.м)': 'примерно 2 м.кв/баллон', 'Температура применения, (град. C)': 'не ниже +10', 'Рекомендованное количество слоев покрытия': '1-2'}"
Лак паркетный Tikkurila LACQUER PARQUET полуматовый бесцветный база EP (0.9л),1 549,"Лак Tikkurila LACQUER PARQUET износостойкий паркетный алкидно-уретановый лак. Представлен в полуматовой и глянцевой степенях блеска. Предназначен для защитно-декоративной лакировки паркетных и деревянных полов, лестниц, а также элементов мебели внутри помещения.

Технические характеристики



База: EP 

Цвет: Бесцветный. Колеруется по каталогу Tikkurila «Колеруемые лаки для интерьеров». Окончательный цвет покрытия зависит от породы и первоначального цвета древесины, а также от количества слоев. Во избежание различий в оттенке используйте лак одной партии

Блеск: Полуматовый 

Расход: 12-14 м2/л, в зависимости от состояния и типа поверхности 

Разбавитель: Lakkabensiini 1050 

Способ нанесения: Наносится кистью, валиком, распылителем или аппликатором

Время высыхания: От пыли - 3 часа. Следующий слой можно наносить через 6 часа. Лаковая пленка достигает своей окончательной твердости и водостойкости через 7 дней с момента нанесения

Плотность (кг/л): 0,9 кг/л 

Стойкость к мытью: Отличная при применении обычных бытовых моющих средств 

Сухой остаток по массе (%): Ок. 46%.

Инструкция по применению



Условия при окраске: Лакируемая поверхность должна быть сухой. Температура воздуха, поверхности и лака должна быть не ниже 5°С и относительная влажность воздуха - не выше 80% 

Предварительная подготовка: Новая деревянная поверхность: Очистить поверхность от грязи, пыли, жира. Загрунтовать поверхность лаком, разбавленным на 20% растворителем Lakkabensiini 1050, отшлифовать. Ранее лакированная поверхность: Поверхность вымыть моющим средством Tikkurila Maalipesu, затем тщательно промыть водой и высушить. Отслаивающийся и растрескавшийся лак полностью удалить скребком. Всю поверхность отциклевать или отшлифовать шлифовальной бумагой, пыль от шлифовки удалить. Отдельное грунтование не требуется. Поверхность должна быть сухой и чистой

Окраска: Лак перед применением перемешать, а также перемешивать во время работы с целью обеспечения равномерного распределения пигментного концентрата и матирующего компонента (для лака с полуматовой степенью блеска). При покрывной лакировке лак наносить 2-3 тонкими слоями по направлению волокон древесины. Перед нанесением следующего слоя лака поверхность рекомендуется слегка шлифовать. При нанесении колерованного лака для проверки цвета рекомендуется до начала работы сделать пробную выкраску на отдельной доске, так как окончательный цвет покрытия зависит от породы и первоначального цвета древесины, а также от количества слоев лака

Очистка инструментов: После окончания работ инструменты обработать Tikkurila Lakkabensiini 1050

Эксплуатация поверхности: Избегать применения моющих средств и сильной очистки свежелакированной поверхности, так как свежее покрытие достигает своей окончательной твердости и стойкости в течение прибл. одного месяца после окраски. При необходимости, для очистки покрытия в данный период можно применить легкую очистку влажной мягкой тканью. Примерно через месяц после лакировки готовое покрытие можно очищать нейтральными (рН 6-8) моющими средствами с помощью мягкой ткани или губки. Сильно загрязненные поверхности можно очищать слабыми щелочными моющими средствами (рН 8-10). После очистки поверхность необходимо тщательно вымыть чистой водой. Высушить поверхность

Ремонтная окраска: Лакированные лаком Tikkurila Lacquer Parquet поверхности можно лакировать лаком Tikkurila Lacquer Parquet или однотипными органоразбавляемыми лаками. См. пункт «Предварительная подготовка». 

Хранение и транспортировка

Хранить в плотно закрытой таре, предохраняя от воздействия влаги и прямых солнечных лучей, вдали от источников отопления. Выдерживает транспортировку и хранение при низких температурах. В случае хранения при отрицательной температуре перед применением выдержать 24 часа при комнатной температуре и тщательно перемешать. Гарантийный срок хранения в невскрытой заводской упаковке - 3 года. Легковоспламеняющаяся жидкость, содержит уайт-спирит. При проведении окрасочных работ избегать попадания на кожу и в глаза. При попадании в глаза немедленно промыть водой и обратиться за медицинской помощью. Контакт с кожей может вызвать аллергическую реакцию и раздражение. Для защиты рук применять специальные резиновые перчатки. Избегать вдыхания паров растворителей или красочной пыли от распыления. Организовать эффективный воздухообмен. Беречь от огня. Огнеопасно! Не распылять вблизи огня. Не выливать в канализацию, водоем или на почву. Пустые, сухие банки можно утилизировать с бытовыми отходами. Жидкие отходы утилизировать в соответствии с местным законодательством.","{'Тип работ': 'внутренние работы', 'Область применения': 'для паркета\xa0/\xa0для полов\xa0/\xa0для мебели', 'Степень блеска поверхности': 'полуматовая', 'Вид покрытия': 'оставляет природный рисунок древесины', 'Защита от УФ-излучения (солнца)': 'нет', 'Колеровка': 'да', 'Состав,': 'алкидно-уретановый', 'Готовность к применению': 'готов к применению', 'Выбор фасовки': 'маленькая, до 3л(кг)', 'Бренд': 'Tikkurila', 'Страна производителя': 'ФИНЛЯНДИЯ', 'Цвет': 'бесцветный', 'Разбавитель (растворитель)': 'уайт-спирит Lakkabensiini 1050', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель\xa0/\xa0аппликатор', 'Время полного высыхания (ч)': '6', 'Температура применения, (град. C)': 'не ниже +5', 'Рекомендованное количество слоев покрытия': '2-3', 'Расход (1 слой), (кв.м/л)': '12-14', 'Время высыхания между слоями (ч)': '6', 'Защита от плесени, грибка': 'нет', 'Тип поверхности': 'дерево\xa0/\xa0ДВП\xa0/\xa0ДСП\xa0/\xa0паркет', 'Фасовка (л)': '0.9'}"
Краска фасадная Декарт FacadePaint белая - 10 кг,950,"Краска фасадная Декарт FacadePaint. Цвет – белый. Вес упаковки – 10 кг.

Характеристики

Акриловая, экологичная краска. Укрывистая, легко наносится на фасад, равномерно распределяется без разводов и потеков, не образует брызг. Формирует устойчивое к атмосферным воздействиям покрытие. Безопасна для здоровья человека и домашних животных.

Особенности применения

Краска используется для отделки фасадов зданий и стен снаружи помещений. Ей работают по бетону, пенобетону, кирпичу, штукатурке, поверхностям, уже имеющим покрытие и т.д.

Технология нанесения

Основание до окрашивания тщательно подготавливают. Его очищают от загрязнений, посторонних включений, сушат. Далее обрабатывают акриловой грунтовкой.

В качестве инструментов используют традиционную кисть, валик или распылитель. Нанесение осуществляется в 1 – 2 слоя. 

1 литр краски в среднем уходит на 6 - 8 м2 поверхности. Расход зависит от состояния обрабатываемой области, наличия на ней шероховатостей, толщины каждого слоя покрытия, а также выбранного инструмента.

Техника безопасности

Хранение и перевозка осуществляется в строго герметично закрытой банке. 

Место под складирование выбирается защищенное от внешних воздействий, сухое, удаленное от источников тепла, недоступное для детей. 

При работе с краской обязательно использование средств индивидуальной защиты: резиновых перчаток, респиратора, очков. В случае попадания в глаза, необходимо сразу же промыть их большим количеством воды. В экстренных ситуациях (например, при проглатывании) незамедлительно обратиться к врачу.

Выливать остатки краски в канализацию, водоемы, почву запрещено. Пустая тара утилизируется в качестве бытовых или строительных отходов.","{'Степень блеска поверхности': 'матовая', 'Область применения': 'для стен', 'Защита от плесени, грибка': 'нет', 'Колеровка': 'ручная\xa0/\xa0готовый цвет', 'Тип поверхности': 'кирпич\xa0/\xa0бетон', 'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Состав,': 'акриловый', 'Разбавитель (растворитель)': 'вода', 'Артикул': '27821', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Расход (1 слой), (кв.м/л)': '1 кг на 6-8 кв.м', 'Фасовка, (кг)': '10'}"
Краска фасадная РЕЛЬЕФ ВД-АК-1180 белоснежная W1106 6 кг,850,"Краска РЕЛЬЕФ ВД-АК-1180 фасадная белоснежная W1106. Вес упаковки — 6 кг. Акриловый состав с хорошей адгезией к различным поверхностям. Простой и удобный в применении, легко наносится, равномерно распределяется без подтеков и брызг. Формирует прочное «дышащее» покрытие, устойчивое к воздействию ультрафиолетовых лучей, попаданию влаги и других атмосферных явлений.

Особенности применения

Для наружных и внутренних окрасочных работ. Продукт используется на фасадах зданий, защищенных от прямого попадания воды. Краску также применяют для стен и потолков в помещениях с нормальной и повышенной влажностью.

Технология нанесения

Основание под покраску подготавливается. Оно должно быть сухим, чистым, прочным, не содержать старого покрытия или побелки. В завершении рекомендуется нанесение укрепляющего грунта.

Перед нанесением краска перемешивается. В качестве инструментов используется кисть, валик или краскопульт. Заданный уровень атмосферостойкости покрытия достигается через 2-4 недели.

Техника безопасности

Хранение и транспортировка осуществляется только в плотно закрытой таре. Для складирования выбирается место, защищенное от внешних воздействий, удаленное от источников огня и тепла, недоступное для детей. 

Работать с краской только с применением средств индивидуальной защиты. Избегать контакта с открытыми участками кожи, попаданий в глаза. Не принимать внутрь.

Остатки запрещено выливать в водоем, почву или канализацию. Пустые емкости с высохшим продуктом утилизируются в качестве бытового мусора.","{'Степень блеска поверхности': 'матовая', 'Защита от плесени, грибка': 'нет', 'Колеровка': 'да', 'Тип поверхности': 'кирпич\xa0/\xa0бетон\xa0/\xa0дерево\xa0/\xa0ДВП\xa0/\xa0ДСП', 'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Бренд': 'РЕЛЬЕФ', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Состав,': 'акриловый', 'Разбавитель (растворитель)': 'вода', 'Артикул': 'W1106', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '1', 'Рекомендованное количество слоев покрытия': '1-2', 'Расход (1 слой), (кв.м/л)': '1 кг на 6-8 м2', 'Время высыхания между слоями (ч)': '1.5', 'Фасовка, (кг)': '6'}"
Краска Dulux Professional Diamond Фасадная белый 1 л,930,"Краска акриловая для минеральных и деревянных поверхностей Dulux Professional Diamond Фасадная. Цвет — белый, объем упаковки — 1 л. Обладает превосходной укрывистостью и нейтральным запахом.

Продукт изготавливается по технологии «Алмазная прочность». Ее суть заключается в максимально точном подборе баланса минеральных наполнителей, которые тесно взаимодействуют с эластичным связующим компонентом. Все это позволяет достичь качественного результата — долговечного и суперстойкого покрытия.

Краска не блокирует способность поверхности пропускать воздух. Покрытие паропроницаемое, оно позволяет основанию «дышать». При этом является водостойким и защищает от проникновения влаги. Активные добавки препятствуют появлению и развитию поражений биологического характера. Стойкие к выгоранию пигменты сохраняют изначальный цвет на долгие годы. Покрытие эластичное, устойчивое к образованию трещин.

Краской легко работать любым инструментом. Она наносится равномерно без образования подтеков и разводов.

Особенности применения

Для наружных окрасочных работ по деревянным и полностью просохшим минеральным поверхностям (бетон, штукатурка, кирпич, каменная кладка). Рекомендуется для окрашивания фасадов жилых и общественных зданий в любых климатических зонах.

Технология нанесения

Перед использованием краска тщательно перемешивается. Состав можно разбавить. Пропорции для всех слоев: не более 1 части воды на 10 частей краски. 

Для укрепления базовой поверхности, повышения адгезии и уменьшения расхода краски наносится слой грунта Dulux. Инструменты для работы: кисть, валик, краскораспылитель. Покрытие формируется толщиной в 2 слоя. Оптимальные температурные условия для окрашивания: от +5°С до +30°С. Влажность воздуха должна быть от 40% до 80%. Заданный уровень атмосферостойкости покрытие достигает через 10-12 дней после нанесения. При окрашивании фактурных поверхностей, декоративных штукатурок краска наносится тонкими слоями.

Обычное распыление: состав разбавляется в соотношении не более 1 части воды на 5 частей краски. Такие пропорции подойдут для большинства оборудования. Рекомендуется предварительно подобрать необходимые условия распыления на небольшом участке поверхности, исходя из выбранного инструмента.

Уход за покрытием также важен. Его очистку можно проводить не ранее, чем через месяц после окрашивания. Можно делать промывку водой под давлением без применения специальных моющих средств.

Техника безопасности

Хранение продукции осуществляется в месте, защищенном от внешних воздействий, недоступном для детей. Окрашивание проводить с применением средств индивидуальной защиты. Беречь от попадания глаза, открытые участки кожи. Не принимать состав внутрь. В экстренной ситуации обратиться к врачу.

Жидкие остатки не выливать в канализацию, водоем или почву. Пустые емкости с засохшим продуктом утилизируются в качестве бытовых отходов.","{'Степень блеска поверхности': 'матовая', 'Область применения': 'стены снаружи помещения', 'Защита от плесени, грибка': 'да', 'Колеровка': 'да', 'Тип поверхности': 'кирпич\xa0/\xa0бетон\xa0/\xa0дерево\xa0/\xa0минеральные поверхности\xa0/\xa0оштукатуренная поверхность\xa0/\xa0камень', 'Срок службы,': '25 лет', 'Тип работ': 'наружные работы', 'Бренд': 'Dulux', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Состав,': 'акриловый', 'Разбавитель (растворитель)': 'вода', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '4', 'Рекомендованное количество слоев покрытия': '2', 'Расход (1 слой), (кв.м/л)': '16', 'Время высыхания между слоями (ч)': '2', 'Фасовка (л)': '1', 'Базис': 'BW'}"
Краска Dulux Professional Diamond Фасадная бесцветная 0.9 л,930,"Краска акриловая для минеральных и деревянных поверхностей Dulux Professional Diamond Фасадная. Цвет — бесцветная, объем упаковки — 0.9 л. Обладает превосходной укрывистостью и нейтральным запахом.

Продукт изготавливается по технологии «Алмазная прочность». Ее суть заключается в максимально точном подборе баланса минеральных наполнителей, которые тесно взаимодействуют с эластичным связующим компонентом. Все это позволяет достичь качественного результата — долговечного и суперстойкого покрытия.

Краска не блокирует способность поверхности пропускать воздух. Покрытие паропроницаемое, оно позволяет основанию «дышать». При этом является водостойким и защищает от проникновения влаги. Активные добавки препятствуют появлению и развитию поражений биологического характера. Стойкие к выгоранию пигменты сохраняют изначальный цвет на долгие годы. Покрытие эластичное, устойчивое к образованию трещин.

Краской легко работать любым инструментом. Она наносится равномерно без образования подтеков и разводов.

Особенности применения

Для наружных окрасочных работ по деревянным и полностью просохшим минеральным поверхностям (бетон, штукатурка, кирпич, каменная кладка). Рекомендуется для окрашивания фасадов жилых и общественных зданий в любых климатических зонах.

Технология нанесения

Перед использованием краска тщательно перемешивается. Состав можно разбавить. Пропорции для всех слоев: не более 1 части воды на 10 частей краски. 

Для укрепления базовой поверхности, повышения адгезии и уменьшения расхода краски наносится слой грунта Dulux. Инструменты для работы: кисть, валик, краскораспылитель. Покрытие формируется толщиной в 2 слоя. Оптимальные температурные условия для окрашивания: от +5°С до +30°С. Влажность воздуха должна быть от 40% до 80%. Заданный уровень атмосферостойкости покрытие достигает через 10-12 дней после нанесения. При окрашивании фактурных поверхностей, декоративных штукатурок краска наносится тонкими слоями.

Обычное распыление: состав разбавляется в соотношении не более 1 части воды на 5 частей краски. Такие пропорции подойдут для большинства оборудования. Рекомендуется предварительно подобрать необходимые условия распыления на небольшом участке поверхности, исходя из выбранного инструмента.

Уход за покрытием также важен. Его очистку можно проводить не ранее, чем через месяц после окрашивания. Можно делать промывку водой под давлением без применения специальных моющих средств.

Техника безопасности

Хранение продукции осуществляется в месте, защищенном от внешних воздействий, недоступном для детей. Окрашивание проводить с применением средств индивидуальной защиты. Беречь от попадания глаза, открытые участки кожи. Не принимать состав внутрь. В экстренной ситуации обратиться к врачу.

Жидкие остатки не выливать в канализацию, водоем или почву. Пустые емкости с засохшим продуктом утилизируются в качестве бытовых отходов.","{'Степень блеска поверхности': 'матовая', 'Область применения': 'стены снаружи помещения', 'Защита от плесени, грибка': 'да', 'Колеровка': 'да', 'Тип поверхности': 'кирпич\xa0/\xa0бетон\xa0/\xa0дерево\xa0/\xa0минеральные поверхности\xa0/\xa0оштукатуренная поверхность\xa0/\xa0камень', 'Срок службы,': '25 лет', 'Тип работ': 'наружные работы', 'Бренд': 'Dulux', 'Страна производителя': 'РОССИЯ', 'Цвет': 'бесцветный', 'Состав,': 'акриловый', 'Разбавитель (растворитель)': 'вода', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '4', 'Рекомендованное количество слоев покрытия': '2', 'Расход (1 слой), (кв.м/л)': '16', 'Время высыхания между слоями (ч)': '2', 'Фасовка (л)': '0.9', 'Базис': 'BC'}"
Краска акриловая фасадная Marshall Maestro База BW глубокоматовая - 0.9 л,550,"Краска фасадная Marshall Maestro глубокоматовая. Основа акриловая, база BW. Объем упаковки - 0.9 л.

Характеристики

Обеспечивает фасад здания гладким, прочным, устойчивым к атмосферным воздействиям покрытием, обладающим хорошими грязе - и водоотталкивающими свойствами.

Структура поверхности становится глубокоматовой. Появляется визуальное ощущение ровности, мелкие дефекты скрываются.

Наносится краска легко, не образует потеков, брызг. Покрытие служит на фасадных поверхностях до 10 лет, хорошо пропускает воздух.

Особенности применения

Используется при проведении наружных работ. Наносится на заранее подготовленную минеральную поверхность (бетон, кирпич, штукатурка и т.д.). 

Краска рекомендована для осуществления отделочных работ в зданиях (жилых, общественного назначения), гаражах, балконах, тамбурах.

Технология нанесения

Перед началом работ состав тщательно перемешивают, разбавляют водой в рекомендованных производителем пропорциях.

Поверхность для окрашивания также подготавливают заблаговременно. Удаляют грязь, сушат, обезжиривают при необходимости. Для укрепления, повышения адгезии наносят грунтовку.

Оптимальными условиями для начала работ являются:

- температура окружающей среды от +5°C до +30°С;

- относительная влажность воздуха менее 80%.

В качестве инструмента берется традиционная кисть, валик или распылитель. Наносится краска в 2 слоя. После первого ей дается время на высыхание - 1 час. Затем укладывается второй слой. На его готовность уже отводится 2 - 4 часа. Окончательный набор прочности, а также устойчивости к атмосферным воздействиям покрытие приобретает через 10 - 12 дней.

В среднем 1 литр краски уходит на 10 м2 поверхности. Конечный расход зависит от толщины каждого слоя, выбора типа инструмента, а также состояния самого фасада.

Техника безопасности

Краска не классифицируется как опасный для здоровья человека продукт. При этом во время работы осторожность крайне важна. Рекомендуется избегать прямого контакта состава с кожей, попадания в дыхательные пути, глаза. Обязательно использование средств защиты: резиновых перчаток, очков против брызг. Респираторное оборудование в большинстве случаев не требуется. 

Выливать остатки в водоем, канализацию или почву запрещено.","{'Степень блеска поверхности': 'глубокоматовая', 'Защита от плесени, грибка': 'нет', 'Колеровка': 'ручная\xa0/\xa0автоматическая', 'Тип поверхности': 'кирпич\xa0/\xa0бетон\xa0/\xa0оштукатуренная поверхность', 'Тип работ': 'внутренние работы\xa0/\xa0наружные работы', 'Бренд': 'Marshall', 'Страна производителя': 'РОССИЯ', 'Цвет': 'белый', 'Разбавитель (растворитель)': 'вода', 'Способ нанесения': 'кисть\xa0/\xa0валик\xa0/\xa0краскораспылитель', 'Время полного высыхания (ч)': '8', 'Рекомендованное количество слоев покрытия': '2', 'Расход (1 слой), (кв.м/л)': '10', 'Время высыхания между слоями (ч)': '2-4', 'Фасовка (л)': '0.9', 'Базис': 'BW'}"
