category_name,category_url,наименование,цена,описание,характеристики
наименование,цена,описание,Степень блеска поверхности,Колеровка,Тип работ,Бренд,Страна производителя,Цвет,Расход,"Состав,",Разбавитель (растворитель),Артикул,Готовность к применению,Способ нанесения,Время полного высыхания (ч),Рекомендованное количество слоев покрытия,Фасовка (л)
Краска для игрушек Biofa желтая 8005-1-34 (0.125л),554,"div idblockdescription
                                                                            noindex
                                                                            div idfor_parsepКраска для игрушек Biofa желтая 8005134 0125лp

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RUВысококачественная краска на основе сырья природного происхождения безопасна для здоровья ребёнкаspanpdiv

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RUspan p

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RU Рекомендована только для внутренних работspanp

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RUspan p

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RU В качестве связующего использован натуральный шеллак для придания цвета задействованы пищевые красителиspanp

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RUspan p

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RU Безопасна при работе имеет нейтральный запахspanp

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RUspan p

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RU В качестве разбавителя используется вода не выделяет вредных веществ в процессе высыхания и эксплуатацииspanp

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RUspan p

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RU Образует паропроницаемую матовую поверхность с приятными тактильными ощущениями и антистатическим эффектомspanp

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RUspan p

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RU Имеет протоколы технического надзора по DIN EN 713 и DIN 53160spanp

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RUspan p

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RU Хорошо проникает в волокна древесины обеспечивает их равномерное окрашиваниеspanp

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RUspan p

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RU Наносится различными способами окунание распыление кисть высыхает за 30 минутspanp

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RUspan p

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RU Яркие и сочные готовые цвета привлекут внимание ребенкаspanspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif msofareastfontfamily Times New Roman msofareastlanguage RUxmlnamespace prefix  o ns  urnschemasmicrosoftcomofficeoffice ppspanp

p classMsoNormal styleMARGIN 0cm 0cm 10ptspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif LINEHEIGHT 115p pspanp

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RUBIOFA 8005 рекомендуется для защитнодекоративной окраски детских игрушек детского инвентаря кроваток и мебели Также краска может быть использована для декорирования деревянной посуды кухонной утвари и деревянной галантереи украшения броши шкатулки визитницы подсвечники и прочее Яркие цвета отличная способность смачивать древесину и возможность нанесения методом окунания гарантирует быстрый результат с великолепным декоративным эффектомspanp

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RUspan p

p classMsoNormal styleMARGIN 0cm 0cm 0pt LINEHEIGHT normalspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif COLOR black msofareastfontfamily Times New Roman msofareastlanguage RUВНИМАНИЕ При нанесении в один слой в случае длительного контакта с потом или слюной ребенка краска BIOFA 8005 может пачкаться С целью повышения устойчивости к сухому и мокрому истиранию готового изделия окрашенного краской BIOFA 8005 рекомендуется дополнительная обработка маслами ТМ BIOFA например BIOFA 2044 2052 8662 8630 Все указанные продукты имеют протокол технического надзора о безопасности для детских игрушек по DIN EN 713brПри использовании в качестве финишного слоя лазурей и лаков на водной основе краска BIOFA 8005 может немного растворяться и смазываться что может испортить декоративный эффектspanspan styleFONTSIZE 12pt FONTFAMILY Times New Romanserif msofareastfontfamily Times New Roman msofareastlanguage RUppspanp                                                                            noindex
                                                                        div",матовая,нет,внутренние работы,Biofa,ГЕРМАНИЯ,желтый,13-20 м2/л,водный,вода,8005-1-34,готов к применению,кисть / окунание / краскораспылитель,0.5,1-2,0.125
Лак паркетный EUROTEX Premium Бесцветный глянцевый (2.5л),1 665,"div idblockdescription
                                                                            noindex
                                                                            div idfor_parsepEUROTEX PREMIUM ПАРКЕТНЫЙ ЛАКp

pНазначениеpdiv

ul

liзащита древесины любых горизонтальных и вертикальных поверхностей от механических воздействий 

liliдекоративная отделка древесиныliul

pОбласть применения Внутри помещений в т ч неотапливаемых по горизонтальным и вертикальным поверхностям p

ul

liпо новым или старым неокрашенным или очищенным от старого лакового покрытия деревянным основаниям половая доска паркет лестницы стены окна двери мебель и др 

liliпо любым материалам на основе древесины ДВП ДСП фанера шпон пробка и дрliul

pРазрешен к применению в детских дошкольных общеобразовательных спортивных помещенияхp

pСвойстваp

ul

liобразует долговечное эластичное ударопрочное покрытие устойчивоеbr1 к статическому воздействию воды не менее 48 часовbr2 к действию слабых кислот масел бытовой химииbr3 к появлению трещин и царапинbr4 к истиранию и абразивному износу 

liliлегко наносится глубоко проникает в структуру древесины 

liliподчеркивает природный рисунок древесины 

liliкласс пожарной опасности материала КМ2liul

pРекомендации по применениюПри обработке пораженной древесины или древесины ранее окрашенной лакокрасочными материалами предварительно очистить отшлифовать отциклевать зашкурить древесину от старых покрытий загрязнений гнилостных повреждений инородных включений и обеспылить Перед нанесением поверхность загрунтовать составом АКВАТЕКС Грунтантисептик или лаком разбавленным растворителем на 1020 Последующие слои наносить неразбавленным лаком с обязательной промежуточнойbrшлифовкой Для придания древесине желаемого оттенка допускается в качестве грунтовочного слоя использовать составы Акватекс АкватексЭкстра Любимая Дача нужного цвета Перед применением перемешать Наносить на сухую древесину влажностью не более 12 при t окружающего воздуха и поверхности не ниже 5С кистью валиком или распылителемp

pТехнические данныеp

ul

liСостав модифицированная алкидноуретановая смола регуляторы растекаемости и прочие технологические добавки 

liliМетоды нанесения кисть валик распыление 

liliРазбавление допускается но не более 10 от общей массы состава 

liliРазбавитель универсальный растворитель Dali уайтспирит 

liliТемпература применения от 5С относительная влажность воздуха менее 70 

liliДопустимая влажность древесины до 12 

liliКоличество слоев 23 

liliРасход в 1 слой для грунтования 1л разбавленного лака на 1317м2 для финишного покрытия 1л на 813м2 

liliВремя высыхания при t 202C на отлип  4 часа межслойная сушка  5 часов окончательный набор прочности покрытия  4 суток 

liliБлеск покрытия под углом 60 глянцевый 8595 полуматовый 2535 

liliЦвет бесцветный 

liliКолеровка машинная по Колеровочной карте AКВАТЕКСampEUROTEX 

liliКолеровка ручная универсальными колерными пастами Dali 

liliПлотность гсм3 090005 

liliПрочность покрытия к истиранию гм2 глянцевый не более 40гм полуматовый не более 33 гм2 

liliСтойкость покрытия к статическому воздействию воды не менее 48 часов 

liliСрок службы покрытия внутри помещений до 15 лет 

liliОчистка инструмента универсальный растворитель Dali уайтспирит 

liliХранение и транспортировка при t от 40 до 40С не теряет свойств при замораживании 

liliСрок годности 3 года в заполненной герметичной таре 

liliФасовка 08 25 10 лbrliul

p срок службы покрытия зависит от эксплуатационной нагрузкиp

pСовместимость с другими ЛКМp

ul

li1 Предварительная обработка биозащитными пропиточными составами WOODMASTER Биосепт Антижук БиосептТранс Биосепт Ультра Иней Иней Проф БиоТОР WOODMASTER PROF Биосепт Концентрат БиосептУльтра Концентрат Антижук Концентрат DALI Универсальный антисептик ЭКОДОМ БИО БИОПРОФ Временная защита Отбеливатель КЕДР БИО БИОПРОФliul

p биозащитные пропиточные составы окрашивают древесину в зеленовато фисташковый оттенокbr биозащитные пропиточные составы окрашивают древесину в бледнозеленый оттенокp

ul

li2 Предварительная обработка огнезащитными составами WOODMASTER КСД PIREX Decor лак для дереваliul

p допускается обработка только внутри помещений время высыхания лака Eurotex Premium может увеличиться до 7 сутокp

ul

li3 Предварительное грунтование EUROTEX Premium разбавленный Dali Универсальным растворителем или уайтспиритом на 20 АКВАТЕКС Грунтантисептик 

lili4 Предварительное тонирование АКВАТЕКС Акватекс АкватексЭкстра поверхности ЛЮБИМАЯ ДАЧАliul

p в случае предварительного тонирования древесины одним из совместимых ЛКМ грунтование уже не требуетсяp

ul

li5 Предварительное шпатлевание EUROTEX Шпатлевка для дереваliul

pСоветы экспертаp

ul

liпри желании получить цветное покрытие наиболее предпочтительный вариант  предварительно затонировать поверхность совместимыми защитнодекоративными составами а не колеровать непосредственно лак в противном случае со временем участки обработанной поверхности подвергающиеся наиболее интенсивным эксплуатационным нагрузкам могут отличаться по цвету от остальной обработанной площади 

liliмелкие детали удобнее обрабатывать методом окунания 

liliдля нивелирования незначительных дефектов покрытия и улучшения межслойной адгезии рекомендуется 

liliпроизводить легкую шлифовку после каждого слоя мелкозернистой наждачной бумагой 

liliчастично использованный лак для последующего хранения рекомендуется перелить в металлическую или стеклянную тару таким образом чтобы она была полностью заполнена это позволит избежать испарения растворителя и образования поверхностной пленкиliul                                                                            noindex
                                                                        div",глянцевая,ручная / автоматическая / готовый цвет,внутренние работы,Eurotex,РОССИЯ,бесцветный,,алкидный,уайт-спирит,,готов к применению,кисть / валик / краскораспылитель,96,2-3,2.5
Краска Dulux Professional Diamond Фасадная белый 1 л,930,"div idblockdescription
                                                                        div idfor_parsep alignjustifyКраска акриловая для минеральных и деревянных поверхностей Dulux Professional Diamond Фасадная Цвет  белый объем упаковки  1 л Обладает превосходной укрывистостью и нейтральным запахомp

p alignjustifyПродукт изготавливается по технологии Алмазная прочность Ее суть заключается в максимально точном подборе баланса минеральных наполнителей которые тесно взаимодействуют с эластичным связующим компонентом Все это позволяет достичь качественного результата  долговечного и суперстойкого покрытияpdiv

p alignjustifyКраска не блокирует способность поверхности пропускать воздух Покрытие паропроницаемое оно позволяет основанию дышать При этом является водостойким и защищает от проникновения влаги Активные добавки препятствуют появлению и развитию поражений биологического характера Стойкие к выгоранию пигменты сохраняют изначальный цвет на долгие годы Покрытие эластичное устойчивое к образованию трещинp

p alignjustifyКраской легко работать любым инструментом Она наносится равномерно без образования подтеков и разводовpb

bp alignjustifyОсобенности примененияp

p alignjustifyДля наружных окрасочных работ по деревянным и полностью просохшим минеральным поверхностям бетон штукатурка кирпич каменная кладка font color000000Рекомендуется для окрашивания фасадов жилых и общественных зданий в любых климатических зонахfontpb

bp alignjustifyfont color000000Технология нанесенияfontp

p alignjustifyfont color000000Перед использованием краска тщательно перемешивается Состав можно разбавить Пропорции для всех слоев не более 1 части воды на 10 частей краски fontp

p alignjustifyfont color000000Для укрепления базовой поверхности повышения адгезии и уменьшения расхода краски наносится слой грунта Dulux Инструменты для работы кисть валик краскораспылитель Покрытие формируется толщиной в 2 слоя Оптимальные температурные условия для окрашивания от 5С до 30С Влажность воздуха должна быть от 40 до 80 Заданный уровень атмосферостойкости покрытие достигает через 1012 дней после нанесения При окрашивании фактурных поверхностей декоративных штукатурок краска наносится тонкими слоямиfontp

p alignjustifyfont color000000Обычное распыление состав разбавляется в соотношении не более 1 части воды на 5 частей краски Такие пропорции подойдут для большинства оборудования Рекомендуется предварительно подобрать необходимые условия распыления на небольшом участке поверхности исходя из выбранного инструментаfontp

p alignjustifyfont color000000Уход за покрытием также важен Его очистку можно проводить не ранее чем через месяц после окрашивания Можно делать промывку водой под давлением без применения специальных моющих средствfontpb

bp alignjustifyfont color000000Техника безопасностиfontp

p alignjustifyХранение продукции осуществляется в месте защищенном от внешних воздействий недоступном для детей Окрашивание проводить с применением средств индивидуальной защиты Беречь от попадания глаза открытые участки кожи Не принимать состав внутрь В экстренной ситуации обратиться к врачуp

p alignjustifyЖидкие остатки не выливать в канализацию водоем или почву Пустые емкости с засохшим продуктом утилизируются в качестве бытовых отходов p                                                                    div",матовая,да,наружные работы,Dulux,РОССИЯ,белый,,акриловый,вода,,,кисть / валик / краскораспылитель,4,2,1
Краска Dulux Professional Diamond Фасадная бесцветная 0.9 л,930,"div idblockdescription
                                                                        div idfor_parsepКраска акриловая для минеральных и деревянных поверхностей Dulux Professional Diamond Фасадная Цвет  бесцветная объем упаковки  09 л Обладает превосходной укрывистостью и нейтральным запахомp

pПродукт изготавливается по технологии Алмазная прочность Ее суть заключается в максимально точном подборе баланса минеральных наполнителей которые тесно взаимодействуют с эластичным связующим компонентом Все это позволяет достичь качественного результата  долговечного и суперстойкого покрытияpdiv

pКраска не блокирует способность поверхности пропускать воздух Покрытие паропроницаемое оно позволяет основанию дышать При этом является водостойким и защищает от проникновения влаги Активные добавки препятствуют появлению и развитию поражений биологического характера Стойкие к выгоранию пигменты сохраняют изначальный цвет на долгие годы Покрытие эластичное устойчивое к образованию трещинp

pКраской легко работать любым инструментом Она наносится равномерно без образования подтеков и разводовp

h3Особенности примененияh3

pДля наружных окрасочных работ по деревянным и полностью просохшим минеральным поверхностям бетон штукатурка кирпич каменная кладка Рекомендуется для окрашивания фасадов жилых и общественных зданий в любых климатических зонахp

h3Технология нанесенияh3

pПеред использованием краска тщательно перемешивается Состав можно разбавить Пропорции для всех слоев не более 1 части воды на 10 частей краски p

pДля укрепления базовой поверхности повышения адгезии и уменьшения расхода краски наносится слой грунта Dulux Инструменты для работы кисть валик краскораспылитель Покрытие формируется толщиной в 2 слоя Оптимальные температурные условия для окрашивания от 5С до 30С Влажность воздуха должна быть от 40 до 80 Заданный уровень атмосферостойкости покрытие достигает через 1012 дней после нанесения При окрашивании фактурных поверхностей декоративных штукатурок краска наносится тонкими слоямиp

pОбычное распыление состав разбавляется в соотношении не более 1 части воды на 5 частей краски Такие пропорции подойдут для большинства оборудования Рекомендуется предварительно подобрать необходимые условия распыления на небольшом участке поверхности исходя из выбранного инструментаp

pУход за покрытием также важен Его очистку можно проводить не ранее чем через месяц после окрашивания Можно делать промывку водой под давлением без применения специальных моющих средствp

h3Техника безопасностиh3

pХранение продукции осуществляется в месте защищенном от внешних воздействий недоступном для детей Окрашивание проводить с применением средств индивидуальной защиты Беречь от попадания глаза открытые участки кожи Не принимать состав внутрь В экстренной ситуации обратиться к врачуp

pЖидкие остатки не выливать в канализацию водоем или почву Пустые емкости с засохшим продуктом утилизируются в качестве бытовых отходов p                                                                    div",матовая,да,наружные работы,Dulux,РОССИЯ,бесцветный,,акриловый,вода,,,кисть / валик / краскораспылитель,4,2,0.9
Краска фасадная РЕЛЬЕФ ВД-АК-1180 белоснежная W1106 6 кг,899,"div idblockdescription
                                                                        div idfor_parsep alignjustifyКраска РЕЛЬЕФ ВДАК1180 фасадная белоснежная W1106 Вес упаковки  6 кг Акриловый состав с хорошей адгезией к различным поверхностям Простой и удобный в применении легко наносится равномерно распределяется без подтеков и брызг Формирует прочное дышащее покрытие устойчивое к воздействию ультрафиолетовых лучей попаданию влаги и других атмосферных явленийpb

bp alignjustifyОсобенности примененияpdiv

p alignjustifyДля наружных и внутренних окрасочных работ Продукт используется на фасадах зданий защищенных от прямого попадания воды Краску также применяют для стен и потолков в помещениях с нормальной и повышенной влажностьюpb

bp alignjustifyТехнология нанесенияp

p alignjustifyОснование под покраску подготавливается Оно должно быть сухим чистым прочным не содержать старого покрытия или побелки В завершении рекомендуется нанесение укрепляющего грунтаp

p alignjustifyПеред нанесением краска перемешивается В качестве инструментов используется кисть валик или краскопульт Заданный уровень атмосферостойкости покрытия достигается через 24 неделиpb

bp alignjustifyТехника безопасностиp

p alignjustifyХранение и транспортировка осуществляется только в плотно закрытой таре Для складирования выбирается место защищенное от внешних воздействий удаленное от источников огня и тепла недоступное для детей p

p alignjustifyРаботать с краской только с применением средств индивидуальной защиты Избегать контакта с открытыми участками кожи попаданий в глаза Не принимать внутрьp

p alignjustifyОстатки запрещено выливать в водоем почву или канализацию Пустые емкости с высохшим продуктом утилизируются в качестве бытового мусораp                                                                    div",матовая,да,внутренние работы / наружные работы,РЕЛЬЕФ,РОССИЯ,белый,,акриловый,вода,W1106,,кисть / валик / краскораспылитель,1,1-2,
Краска Marshall Akrikor фасадная силикон-акриловая матовая BW (0.9л),660,"div idblockdescription
                                                                            noindex
                                                                            div idfor_parsepКраска Marshall Akrikor фасадная силиконакриловая матовая BW 09лp

pfont color000000Матовая силиконакриловая краска для минеральных fontfont color000000фасадных поверхностей fontpdiv

pfont color000000Образует атмосферостойкое fontfont color000000покрытие с высокой адгезией сохраняет защитные и декоративные свойства на срок до 15 лет fontp

pfont color000000Силиконовые добавки fontfont color000000в составе защищают покрытие от грязи и проникновения влаги fontfont color000000а высокая паропроницаемость 1 класс по ISO 77832 позволяет покрытию дышать fontp

pfont color000000Препятствует заражению поверхности fontfont color000000грибком и водорослями fontp

pfont color000000Быстро сохнет и не имеет fontfont color000000резкого запахаfontp

pfont color000000Область примененияfontp

pfont color000000Для наружных работ Подходит для нанесения на полностью fontfont color000000просохшие гладкие минеральные поверхности отштукатуренные кирпичные бетонные в том числе легкие оштукатуренные fontfont color000000системы утепления span langENspanspan langRUМокрый фасадspanspan langENspanfontspan langRUfont color000000 и каменную кладку Для fontfont color000000окрашивания фактурных покрытий декоративных штукатурок fontfont color000000наносите краску тонкими слоями Рекомендуется для окраски fontfont color000000фасадов жилых и общественных зданий в любых климатических зонахfontspanp

pspanfont color000000Особенности примененияfontspanp

pfont color000000Перед применением разбавить в рекомендованной пропорции fontfont color000000и тщательно перемешать Произвести подготовку поверхностиfontp

pfont color000000Рекомендуется наносить в два слоя при температуре от 5fontfont color000000fontspan langRUfont color000000C fontfont color000000до 30fontspanspanfont color000000fontfont color000000С относительной влажности воздуха от 40 до 80 Для fontfont color000000укрепления базовой поверхности повышения адгезии и уменьшения расхода краски загрунтуйте подготовленную поверхность fontfont color000000фасадной грунтовкой глубокого проникновения fontfont color000000Marshall Maestro fontfont color000000Заданный уровень атмосферостойкости fontfont color000000покрытие достигает через 1012 дней после окрашиванияfontspanp

pspanfont color000000Разбавлениеfontspanp

pfont color000000Для первого грунтовочного слоя разбавить в соотношении fontfont color000000не более 1 части воды на 10 частей краски Для следующегоfontfont color000000слоя разбавление не требуетсяfontp

pfont color000000Распылениеfontp

pfont color000000Обычное распыление разбавить в соотношении не более fontfont color0000001 части воды на 5 частей краски  подходит для большинства fontfont color000000оборудования Безвоздушное распыление разбавление водой fontfont color000000не требуется При необходимости добавить до 10 водыfontp

pfont color000000Рекомендуемое рабочее давление от 100 до 150 бар угол fontfont color000000распыла факела 3050fontfont color000000span langENspanspan langRU диаметр сопла 00120017 дюйма font color6d6e71 size1font color6d6e71 size1fontfontspanfontp                                                                            noindex
                                                                        div",матовая,да,наружные работы,Marshall,РОССИЯ,белый,,акрилово-силиконовый,вода,,,кисть / валик / краскораспылитель,4,2,0.9
Краска Marshall Akrikor фасадная силикон-акриловая матовая BC (0.9л),660,"div idblockdescription
                                                                            noindex
                                                                            div idfor_parsepfont color000000Краска Marshall Akrikor фасадная силиконакриловая матовая BC 09лfontp

pfont color000000Матовая силиконакриловая краска для минеральных fontfont color000000фасадных поверхностей fontpdiv

pfont color000000Образует атмосферостойкое fontfont color000000покрытие с высокой адгезией сохраняет защитные и декоративные свойства на срок до 15 лет fontp

pfont color000000Силиконовые добавки fontfont color000000в составе защищают покрытие от грязи и проникновения влаги fontfont color000000а высокая паропроницаемость 1 класс по ISO 77832 позволяет покрытию дышать fontp

pfont color000000Препятствует заражению поверхности fontfont color000000грибком и водорослями fontp

pfont color000000Быстро сохнет и не имеет fontfont color000000резкого запахаfontp

pfont color000000Область примененияfontp

pfont color000000Для наружных работ Подходит для нанесения на полностью fontfont color000000просохшие гладкие минеральные поверхности отштукатуренные кирпичные бетонные в том числе легкие оштукатуренные fontfont color000000системы утепления span langENspanspan langRUМокрый фасадspanspan langENspanfontspan langRUfont color000000 и каменную кладку Для fontfont color000000окрашивания фактурных покрытий декоративных штукатурок fontfont color000000наносите краску тонкими слоями Рекомендуется для окраски fontfont color000000фасадов жилых и общественных зданий в любых климатических зонахfontspanp

pspanfont color000000Особенности примененияfontspanp

pfont color000000Перед применением разбавить в рекомендованной пропорции fontfont color000000и тщательно перемешать Произвести подготовку поверхностиfontp

pfont color000000Рекомендуется наносить в два слоя при температуре от 5fontfont color000000fontspan langRUfont color000000C fontfont color000000до 30fontspanspanfont color000000fontfont color000000С относительной влажности воздуха от 40 до 80 Для fontfont color000000укрепления базовой поверхности повышения адгезии и уменьшения расхода краски загрунтуйте подготовленную поверхность fontfont color000000фасадной грунтовкой глубокого проникновения fontfont color000000Marshall Maestro fontfont color000000Заданный уровень атмосферостойкости fontfont color000000покрытие достигает через 1012 дней после окрашиванияfontspanp

pspanfont color000000Разбавлениеfontspanp

pfont color000000Для первого грунтовочного слоя разбавить в соотношении fontfont color000000не более 1 части воды на 10 частей краски Для следующегоfontfont color000000слоя разбавление не требуетсяfontp

pfont color000000Распылениеfontp

pfont color000000Обычное распыление разбавить в соотношении не более fontfont color0000001 части воды на 5 частей краски  подходит для большинства fontfont color000000оборудования Безвоздушное распыление разбавление водой fontfont color000000не требуется При необходимости добавить до 10 водыfontp

pfont color000000Рекомендуемое рабочее давление от 100 до 150 бар угол fontfont color000000распыла факела 3050fontfont color000000span langENspanspan langRU диаметр сопла 00120017 дюйма font color6d6e71 size1font color6d6e71 size1fontfontspanfontp

p p                                                                            noindex
                                                                        div",матовая,да,наружные работы,Marshall,РОССИЯ,бесцветный,,акрилово-силиконовый,вода,,,кисть / валик / краскораспылитель,4,2,0.9
